source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS058,59,An extensive review of machine learning and deep learning techniques on network intrusion detection for IoT,"S Walling, S Lodh",2025,10.1002/ett.70064,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.70064,journal-article,Transactions on Emerging…,an extensive review of machine learning and deep learning techniques on network intrusion detection for iot,,,,no_automatic_match,
GS059,60,K-GetNID: Knowledge-guided graphs for early and transferable network intrusion detection,"M Wang, N Yang, N Weng",2024,,https://ieeexplore.ieee.org/abstract/document/10605850/,journal-article,IEEE Transactions on Information…,k getnid knowledge guided graphs for early and transferable network intrusion detection,,,,no_automatic_match,
GS060,61,Adaptive Decision-Level Intrusion Detection for Known and Zero -Day Attacks,"JP Mchina, N Mduma, RS Sinde",2026,10.3390/network6020023,https://www.mdpi.com/2673-8732/6/2/23,journal-article,Network,adaptive decision level intrusion detection for known and zero day attacks,DOI_DUP_022,TITLE_DUP_006,,candidate_duplicate,exact DOI candidate with CR030 | normalized-title candidate with CR030
GS061,62,An active learning framework using deep Q-network for zero -day attack detection,"Y Wu, Y Hu, J Wang, M Feng, A Dong, Y Yang",2024,10.1016/j.cose.2024.103713,https://www.sciencedirect.com/science/article/pii/S0167404824000142,journal-article,Computers & Security,an active learning framework using deep q network for zero day attack detection,DOI_DUP_006,TITLE_DUP_009,,candidate_duplicate,exact DOI candidate with SD009 | normalized-title candidate with SD009
GS062,63,Network Intrusion Detection using Combined Deep Learning Models: Literature Survey and Future Research Directions.,"H KAMAL IDRISSI, A KARTIT",2024,,https://www.iaeng.org/IJCS/issues_v51/issue_8/IJCS_51_8_06.pdf,journal-article,IAENG International Journal of Computer…,network intrusion detection using combined deep learning models literature survey and future research directions,,,,no_automatic_match,
GS063,64,Enhanced network anomaly detection using autoencoders: A deep learning approach for proactive cybersecurity,"J Simon, N Kapileswar, R Vani…",2024,,https://ieeexplore.ieee.org/abstract/document/10696845/,journal-article,…on Intelligent Cyber…,enhanced network anomaly detection using autoencoders a deep learning approach for proactive cybersecurity,,,,no_automatic_match,
GS064,65,A synergistic approach in network intrusion detection by neurosymbolic ai,"A Bizzarri, CE Yu, B Jalaian, F Riguzzi…",2024,10.48550/arXiv.2406.00938,https://arxiv.org/abs/2406.00938,posted-content,arXiv preprint arXiv…,a synergistic approach in network intrusion detection by neurosymbolic ai,,,,no_automatic_match,
GS065,66,Explainable AI Meets Synthetic Data: A Deep Learning Framework for Detecting Network Intrusion in NextG Network Infrastructure,"MJ Hossain, K Alam, MF Monir, MM Hoque…",2025,,https://ieeexplore.ieee.org/abstract/document/11069291/,journal-article,IEEE…,explainable ai meets synthetic data a deep learning framework for detecting network intrusion in nextg network infrastructure,,,,no_automatic_match,
GS066,68,Wasserstein distance guided feature Tokenizer transformer domain adaptation for network intrusion detection,"H Zhang, Z Zhang, H Huang, H Yang",2025,10.1016/j.cose.2025.104562,https://www.sciencedirect.com/science/article/pii/S0167404825002512,journal-article,Computers & Security,wasserstein distance guided feature tokenizer transformer domain adaptation for network intrusion detection,DOI_DUP_008,TITLE_DUP_024,,candidate_duplicate,exact DOI candidate with SD001 | normalized-title candidate with SD001
GS067,69,Design and validation of a deep learning -based network intrusion detection algorithm,"W Dai, Y Liu, Q Diao",2026,10.1007/s44163-026-00958-1,https://link.springer.com/article/10.1007/s44163-026-00958-1,journal-article,Discover Artificial Intelligence,design and validation of a deep learning based network intrusion detection algorithm,DOI_DUP_005,TITLE_DUP_014,,candidate_duplicate,exact DOI candidate with SL002 | normalized-title candidate with SL002
GS068,70,"[C]The rise of ai-driven network intrusion detection systems: Innovations, challenges, and future directions",MSRS Raja,2025,,,journal-article,"International Journal of AI, BigData, Computational and…",c the rise of ai driven network intrusion detection systems innovations challenges and future directions,,,,no_automatic_match,
GS069,71,Deep learning -based network intrusion detection in smart healthcare enterprise systems,V Ravi,2024,10.1007/s11042-023-17300-x,https://link.springer.com/article/10.1007/s11042-023-17300-x,journal-article,Multimedia Tools and Applications,deep learning based network intrusion detection in smart healthcare enterprise systems,,,,no_automatic_match,
GS070,72,Adaptive network intrusion detection systems against performance degradation via model agnostic meta-learning,"G Ekinci, A Broggi, L Fiondella, ND Bastian…",2024,10.1145/3689935.3690396,https://dl.acm.org/doi/abs/10.1145/3689935.3690396,proceedings-article,Proceedings of the 11th…,adaptive network intrusion detection systems against performance degradation via model agnostic meta learning,DOI_DUP_019,TITLE_DUP_008,,candidate_duplicate,exact DOI candidate with ACM002 | normalized-title candidate with ACM002
GS071,73,Elevated few-shot network intrusion detection via self-attention mechanisms and iterative refinement,"C Xu, Y Zhan, G Chen, Z Wang, S Liu, W Hu",2025,10.1371/journal.pone.0317713,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317713,journal-article,PloS one,elevated few shot network intrusion detection via self attention mechanisms and iterative refinement,,,,no_automatic_match,
GS072,74,Copula entropy regularization transformer with C2 variational autoencoder and fine-tuned hybrid DL model for network intrusion detection,"S Akkepalli, K Sagar",2025,,https://www.sciencedirect.com/science/article/pii/S2772503024000689,journal-article,Telematics and Informatics Reports,copula entropy regularization transformer with c2 variational autoencoder and fine tuned hybrid dl model for network intrusion detection,,,,no_automatic_match,
GS073,75,A Hybrid Deep Learning Framework for Efficient Network Intrusion Detection Systems using Data Augmentation,"PS Muller, K Madhavi, B Prasanthi…",2025,,https://ieeexplore.ieee.org/abstract/document/10968940/,journal-article,,a hybrid deep learning framework for efficient network intrusion detection systems using data augmentation,,,,no_automatic_match,
GS074,76,Resilient Wireless Communications with Selective Deep Neural Network Classification,"AQMS Sayyed, J Ashdown, M De Lucia…",2025,,https://ieeexplore.ieee.org/abstract/document/11310295/,proceedings-article,MILCOM 2025-2025…,resilient wireless communications with selective deep neural network classification,,,,no_automatic_match,
